Id,SalePrice
2658,138373.0
2718,180081.0
2414,197610.0
1989,102887.0
625,192766.0
333,91718.0
1327,97951.0
858,135913.0
95,198130.0
1568,176791.0
2482,158857.0
1364,130261.0
2584,153080.0
818,305665.0
2673,164160.0
2089,139765.0
1297,162500.0
790,109211.0
2616,216866.0
720,190325.0
222,125965.0
557,123008.0
1148,193390.0
2766,163179.0
534,189074.0
1452,109501.0
630,119258.0
2648,126687.0
125,150923.0
1904,35705.0
1670,92334.0
756,95863.0
717,263321.0
1032,166621.0
852,208818.0
1731,182823.0
2639,120484.0
2071,84278.0
1267,105044.0
1851,187058.0
567,157243.0
2439,210679.0
1898,155087.0
647,157667.0
2256,238949.0
979,115906.0
1444,224597.0
2485,115217.0
157,107049.0
88,123269.0
2003,108365.0
186,220845.0
1425,254714.0
2695,117209.0
738,103608.0
395,148731.0
1353,163487.0
1878,148576.0
390,180217.0
1456,247810.0
1103,358157.0
1387,134932.0
2070,145470.0
1199,193031.0
2479,173381.0
501,304599.0
2362,88688.0
1718,217975.0
2188,59928.0
1483,163376.0
2557,68937.0
437,329346.0
2224,214773.0
1628,182853.0
397,126818.0
587,216215.0
971,175297.0
2611,158288.0
1887,91499.0
2399,346490.0
2148,202178.0
304,120466.0
1997,137846.0
2817,102977.0
1431,181181.0
427,309525.0
263,117591.0
598,192128.0
2895,237576.0
687,169111.0
1822,121615.0
2191,95506.0
179,126527.0
1009,211175.0
2010,105994.0
1991,146199.0
1411,167397.0
1721,231863.0
1144,188932.0
593,222338.0
575,283977.0
1249,193609.0
1604,121572.0
1064,493106.0
1923,166109.0
1988,99600.0
2325,176015.0
114,202353.0
2700,185733.0
217,164290.0
343,201568.0
386,233445.0
2005,114165.0
2908,127888.0
1814,245005.0
2446,472679.0
208,159031.0
1679,124690.0
822,325630.0
6,190993.0
1781,404246.0
2397,278461.0
2340,303044.0
1618,163281.0
2843,146152.0
1061,355196.0
2786,104685.0
1935,120368.0
1341,104496.0
521,270213.0
2136,130403.0
996,203662.0
227,149673.0
135,172172.0
1167,181039.0
294,232472.0
1776,192094.0
540,180556.0
1717,213367.0
2303,111382.0
116,201450.0
127,108925.0
1371,123302.0
1014,166354.0
1507,110370.0
702,154913.0
750,145533.0
261,153609.0
1559,48807.0
577,212140.0
2812,200658.0
2080,157845.0
1368,128394.0
2376,118208.0
659,79909.0
1235,128958.0
332,84746.0
1917,137082.0
2094,240221.0
1460,273556.0
1471,218939.0
1509,113905.0
1922,121038.0
433,501603.0
460,251025.0
1116,256368.0
1137,182385.0
53,172845.0
2354,256876.0
1475,194124.0
1761,546816.0
842,146006.0
2739,173666.0
2509,167142.0
1007,209696.0
2610,188289.0
1952,60374.0
2719,201990.0
2921,90198.0
1966,136880.0
292,132365.0
1204,219417.0
1829,236269.0
2419,184932.0
391,161321.0
798,118700.0
481,200141.0
193,206606.0
555,109231.0
899,67621.0
2357,188952.0
328,128560.0
1356,109311.0
1154,101546.0
1730,172901.0
2249,151421.0
1119,278911.0
2856,132528.0
1394,137102.0
2587,130734.0
61,297785.0
2661,185088.0
2711,124448.0
1147,185093.0
757,127736.0
2623,86514.0
2378,156845.0
1413,145141.0
1722,217445.0
1112,217242.0
1623,202471.0
1201,196192.0
1513,95970.0
957,279175.0
1171,282731.0
1145,199485.0
2726,252991.0
703,163607.0
760,79774.0
1964,123857.0
2512,191997.0
159,175732.0
1281,194268.0
468,174893.0
290,114054.0
665,94546.0
1463,263236.0
1792,225062.0
923,140568.0
500,286085.0
1408,187942.0
331,63939.0
170,139604.0
2192,80969.0
2571,303606.0
2314,174747.0
2647,72865.0
422,404335.0
2457,377804.0
1838,193179.0
2805,242399.0
1645,158782.0
1711,284427.0
2825,241462.0
322,291959.0
2103,261422.0
342,120206.0
600,108241.0
488,191520.0
1725,276736.0
2246,295677.0
2847,171402.0
806,250350.0
530,228619.0
963,201952.0
2678,61910.0
171,85861.0
2401,409579.0
805,220789.0
2259,249788.0
1748,184333.0
1361,144212.0
1677,144524.0
1406,158426.0
2322,221205.0
688,182670.0
143,145763.0
804,213406.0
1214,176785.0
2828,168165.0
1999,210582.0
2467,194157.0
2665,182159.0
1538,355679.0
398,110654.0
2822,139751.0
2157,156395.0
1856,177757.0
1269,104700.0
2570,121525.0
2320,246278.0
1517,122226.0
2304,115014.0
1312,93469.0
2012,149615.0
506,219315.0
2865,193037.0
2367,130483.0
554,97730.0
238,129747.0
1954,97644.0
2488,169202.0
2291,90843.0
1969,96035.0
2725,185056.0
1482,163376.0
2763,208874.0
503,251733.0
1584,251893.0
1531,159454.0
2210,183319.0
459,310499.0
556,135577.0
1347,150358.0
1290,69319.0
1388,105931.0
1571,209189.0
2754,194316.0
765,138032.0
2494,120618.0
2870,213039.0
7,220705.0
1114,262356.0
2418,278416.0
291,156212.0
